# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	12059	12304	+	CR182_00026		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00313B0AD9, UniRef:UniRef90_UPI00313B0AD9
contig_1	cds	13125	13304	+	CR182_00027		hypothetical protein	
contig_1	cds	13342	13794	+	CR182_00028		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	14613	14843	+	CR182_00029		(pseudo) Transposase	SO:0001217, UniRef:UniRef50_A0AAX3T064, UniRef:UniRef90_UPI00209D5C42
contig_1	cds	14967	15641	+	CR182_00030		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A222EPI4
contig_1	cds	15603	16082	-	CR182_00031		hypothetical protein	
contig_1	cds	16426	17079	+	CR182_00032		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_Q14ND2, UniRef:UniRef90_UPI001F542C6D
contig_1	cds	17517	17645	-	CR182_00033		hypothetical protein	
contig_1	cds	17844	18239	-	CR182_00034		hypothetical protein	
contig_1	cds	18552	19409	+	CR182_00035		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	SO:0001217, UniRef:UniRef50_R4UL10
contig_1	cds	19418	20161	-	CR182_00036		Nif3-like dinuclear metal center hexameric protein	SO:0001217, UniRef:UniRef50_W0GQ52
contig_1	cds	20161	20823	-	CR182_00037		SAM-dependent methyltransferase	EC:2.1.1.217, KEGG:K06967, SO:0001217, UniRef:UniRef50_A0A2P6FFC2, UniRef:UniRef90_Q14P58
contig_1	cds	20793	22172	-	CR182_00038		sigma-70 family RNA polymerase sigma factor	SO:0001217, UniRef:UniRef50_A0A2K8P4Z7, UniRef:UniRef90_UPI0030CBD3DE
contig_1	cds	22178	24058	-	CR182_00039		DNA primase	EC:2.7.7.101, KEGG:K02316, SO:0001217, UniRef:UniRef50_A0A345DMX0, UniRef:UniRef90_A0A345DMX0
contig_1	cds	24077	25444	-	CR182_00040		glycine--tRNA ligase	EC:6.1.1.14, GO:0000166, GO:0004820, GO:0005524, GO:0006426, KEGG:K01880, SO:0001217, UniRef:UniRef50_A0A1F6MDG5, UniRef:UniRef90_A0A0K2JH41
contig_1	cds	25488	25775	-	CR182_00041	recO	DNA repair protein recO	SO:0001217, UniRef:UniRef50_A0A0K2JH40, UniRef:UniRef90_A0A0K2JH40
contig_1	cds	25896	26234	-	CR182_00042	recO	(pseudo) DNA repair protein RecO	GO:0003677, GO:0006281, GO:0006310, KEGG:K03584, SO:0001217, UniRef:UniRef50_R4UIE8, UniRef:UniRef90_A0A345DMX2
contig_1	cds	26236	27129	-	CR182_00043	era	GTPase Era	GO:0003723, GO:0005525, SO:0001217, UniRef:UniRef50_A0AAI9T2C9, UniRef:UniRef90_A0AAI9T2C9
contig_1	cds	27189	31550	-	CR182_00044		PolC-type DNA polymerase III	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0008408, KEGG:K03763, SO:0001217, UniRef:UniRef50_A0A1J0U064, UniRef:UniRef90_A0A0K2JHL4
contig_1	cds	31575	32921	-	CR182_00045	rseP	RIP metalloprotease RseP	GO:0004222, GO:0006508, GO:0016020, SO:0001217, UniRef:UniRef50_A0A1J0U051, UniRef:UniRef90_A0A345DMX5
contig_1	cds	32960	34108	-	CR182_00046	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase	EC:1.1.1.267, GO:0005737, GO:0008299, GO:0019288, GO:0030604, GO:0046872, KEGG:K00099, SO:0001217, UniRef:UniRef50_R4UKZ8, UniRef:UniRef90_A0A0K2JH44
contig_1	cds	34112	35203	-	CR182_00047		Phosphatidate cytidylyltransferase	EC:2.7.7.41, KEGG:K00981, SO:0001217, UniRef:UniRef50_R4UIE2, UniRef:UniRef90_A0A0K2JH43
contig_1	cds	35181	35888	-	CR182_00048	uppS	polyprenyl diphosphate synthase	EC:2.5.1.-, GO:0005737, GO:0009252, SO:0001217, UniRef:UniRef50_A0A345Z3U3, UniRef:UniRef90_A0A0K2JI60
contig_1	cds	35950	36498	-	CR182_00049	frr	ribosome recycling factor	GO:0006412, GO:0008135, SO:0001217, UniRef:UniRef50_Q03WX8, UniRef:UniRef90_Q14P69
contig_1	cds	36499	37224	-	CR182_00050	pyrH	UMP kinase	EC:2.7.4.22, GO:0005737, GO:0006221, GO:0015949, GO:0033862, KEGG:K09903, SO:0001217, UniRef:UniRef50_R4U3F1, UniRef:UniRef90_A0A0K2JHL5
contig_1	cds	38040	38180	+	CR182_00051		(pseudo) Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A2S8NPX7, UniRef:UniRef90_UPI0032B2E59C
contig_1	cds	38180	38407	+	CR182_00052		Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A2P6FD37
contig_1	cds	38719	38946	+	CR182_00053		(pseudo) DUF3627 domain-containing protein	SO:0001217, UniRef:UniRef50_P15895, UniRef:UniRef90_A0AAI9T421
contig_1	cds	39034	39153	+	CR182_00054		hypothetical protein	
contig_1	cds	40177	40314	-	CR182_00055		Transposase	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0SM09
contig_1	cds	40724	40921	-	CR182_00056		Transposase	SO:0001217, UniRef:UniRef50_A0A433ERA3
contig_1	cds	41210	41389	-	CR182_00057		hypothetical protein	
contig_1	cds	41420	41794	-	CR182_00058		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6F8I2
contig_1	cds	42735	42845	-	CR182_00059		(pseudo) p123	SO:0001217, UniRef:UniRef50_A0A0K2JHM6, UniRef:UniRef90_UPI0032B15A45
contig_1	cds	42930	43091	-	CR182_00060		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6F8M3, UniRef:UniRef50_A0A2P6F9B6, UniRef:UniRef90_A0A2P6F8M3
contig_1	cds	43449	44120	-	CR182_00061		(pseudo) Adhesin P123	SO:0001217, UniRef:UniRef50_A0A2P6F8E7, UniRef:UniRef50_A0A433ESZ6, UniRef:UniRef90_A0A2P6F8E7
contig_1	cds	44110	44877	-	CR182_00062		Adhesin P54	SO:0001217, UniRef:UniRef50_A0A3S0TSB4, UniRef:UniRef90_A0A2P6F972
contig_1	cds	45148	45501	-	CR182_00063		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3S0URV8, UniRef:UniRef90_A0A2P6F8F3
contig_1	cds	45494	45799	-	CR182_00064		Adhesin P12	SO:0001217, UniRef:UniRef50_A0A2P6F9F7
contig_1	cds	45973	46212	-	CR182_00065		(pseudo) PBSX family phage terminase large subunit	SO:0001217, UniRef:UniRef50_A0A3S0U716, UniRef:UniRef90_A0A2P6F919
contig_1	cds	46273	46653	-	CR182_00066		(pseudo) Phage terminase large subunit N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6F9M4, UniRef:UniRef50_A0A432ZUI0, UniRef:UniRef90_UPI000D655D16
contig_1	cds	46693	47232	-	CR182_00067		Phage terminase large subunit N-terminal domain-containing protein	KEGG:K06909, SO:0001217, UniRef:UniRef50_A0A3S0SCF8, UniRef:UniRef90_A0A3S0SCF8
contig_1	cds	47313	47834	+	CR182_00068		Transposase	SO:0001217, UniRef:UniRef50_A0AAX3T064, UniRef:UniRef90_UPI00209D5C42
contig_1	cds	47816	48058	+	CR182_00069		Transposase	SO:0001217, UniRef:UniRef50_A0A222EQI5
contig_1	cds	48408	49058	-	CR182_00070		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A2P6FDM5, UniRef:UniRef90_A0A2P6FDM5
contig_1	cds	49289	49420	-	CR182_00071		transposase	SO:0001217, UniRef:UniRef50_UPI00313B2429
contig_1	cds	50053	50505	+	CR182_00072		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	51165	51323	-	CR182_00073		hypothetical protein	
contig_1	cds	51399	52034	-	CR182_00074		(pseudo) ABC transporter substrate-binding protein PnrA-like	SO:0001217, UniRef:UniRef50_UPI0024B82F22, UniRef:UniRef90_UPI0032B1D91D
contig_1	cds	52188	52829	-	CR182_00075		BMP family ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_UPI0020A22CA1
contig_1	cds	53515	54597	+	CR182_00076	ispG	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	EC:1.17.7.1, EC:1.17.7.3, GO:0008152, GO:0046429, KEGG:K03526, SO:0001217, UniRef:UniRef50_Q7NBH3, UniRef:UniRef90_A0A1J0U0H8
contig_1	cds	54650	54799	+	CR182_00077		hypothetical protein	
contig_1	cds	54897	55109	-	CR182_00078		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6I6C9V8
contig_1	cds	55122	55601	-	CR182_00079		(pseudo) IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A2K8P483, UniRef:UniRef90_UPI00209C7762
contig_1	cds	55884	56018	-	CR182_00080		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00209CA79B, UniRef:UniRef90_UPI00209CA79B
contig_1	cds	56276	56587	-	CR182_00081		(pseudo) Tyrosine specific protein phosphatases domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001EE1D15F, UniRef:UniRef50_W6A993, UniRef:UniRef90_A0A432ZWQ4, UniRef:UniRef90_UPI001EE1D15F
contig_1	cds	56590	57516	-	CR182_00082		deoxyribonuclease IV	EC:3.1.21.2, GO:0003677, GO:0006281, GO:0008270, SO:0001217, UniRef:UniRef50_W0GR60, UniRef:UniRef90_A0A0K2JHD0
contig_1	cds	58510	58623	-	CR182_00083		(pseudo) transposase family protein	SO:0001217, UniRef:UniRef50_A0A2P6FAM1, UniRef:UniRef90_UPI0037DD9F5D
contig_1	cds	58802	60085	-	CR182_00084		Uncharacterized protein in fibril gene 3'region	SO:0001217, UniRef:UniRef50_P27712, UniRef:UniRef90_P27712
contig_1	cds	60194	61732	-	CR182_00085	fib	cytoskeletal motor fibril protein Fib	COG:COG0775, COG:FH, GO:0005829, GO:0005856, GO:0008782, GO:0008930, GO:0009116, GO:0019284, SO:0001217, UniRef:UniRef50_P27711, UniRef:UniRef90_P27711
contig_1	cds	62726	63178	-	CR182_00086		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	63319	63465	-	CR182_00087		(pseudo) Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A2P6FD37, UniRef:UniRef50_UPI001F4F0992, UniRef:UniRef90_A0A2P6FD37
contig_1	cds	64277	64834	+	CR182_00088	efp	elongation factor P	GO:0003746, GO:0005737, GO:0006414, KEGG:K02356, SO:0001217, UniRef:UniRef50_Q98Q55, UniRef:UniRef90_A0A0K2JGK1
contig_1	cds	64866	65171	+	CR182_00089		MMB_0454 family protein	SO:0001217, UniRef:UniRef50_A0A1J0U0K4, UniRef:UniRef90_A0A0K2JGK4
contig_1	cds	65316	65834	+	CR182_00090		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FEU9, UniRef:UniRef90_UPI0032B1E97C
contig_1	cds	66379	66831	-	CR182_00091		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	67046	67186	-	CR182_00092		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3S0SE02, UniRef:UniRef90_UPI001F4CCD42
contig_1	cds	67830	68108	+	CR182_00093		HTH-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0UBE6, UniRef:UniRef90_A0A3S0UBE6
contig_1	cds	68975	69622	-	CR182_00094		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A2K8P483, UniRef:UniRef90_UPI00209C7762
contig_1	cds	69647	69817	-	CR182_00095		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00209CA79B, UniRef:UniRef90_UPI00209CA79B
contig_1	cds	69987	70259	-	CR182_00096		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGD8
contig_1	cds	70312	70719	+	CR182_00097		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A345DRC1, UniRef:UniRef50_UPI002412E1AB, UniRef:UniRef90_UPI002412E1AB, UniRef:UniRef90_UPI0032B171E8
contig_1	cds	70755	71024	+	CR182_00098		(pseudo) Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DLG6, UniRef:UniRef90_UPI00313E2A98
contig_1	cds	71328	71504	+	CR182_00099		Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DLG5
contig_1	cds	71682	71993	+	CR182_00100		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0037DD4F22, UniRef:UniRef90_UPI0032B30293
contig_1	cds	72143	72295	-	CR182_00101		(pseudo) S1 RNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_R4UD14, UniRef:UniRef50_UPI000AF99867, UniRef:UniRef90_UPI0030CABD39
contig_1	cds	72365	72469	-	CR182_00102		(pseudo) S1 RNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_UPI000D670862, UniRef:UniRef90_UPI0037DD298B
contig_1	cds	73006	73236	+	CR182_00103		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0037DCA685, UniRef:UniRef90_UPI0037DCA685
contig_1	cds	73312	73464	+	CR182_00104		(pseudo) transposase family protein	SO:0001217, UniRef:UniRef50_A0A2P6FAM1, UniRef:UniRef50_UPI00313F2ADF, UniRef:UniRef90_UPI0037DD9F5D
contig_1	cds	73479	73763	+	CR182_00105		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FBT4, UniRef:UniRef90_A0A2P6FBT4
contig_1	cds	73999	74136	+	CR182_00106		Transposase DDE domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FAK5
contig_1	cds	74375	74632	-	CR182_00107		hypothetical protein	
contig_1	cds	74830	74940	-	CR182_00108		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3S0RSB4, UniRef:UniRef90_A0A3S0RSB4
contig_1	cds	75167	75295	-	CR182_00109		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FAV5, UniRef:UniRef90_A0A2P6FAV5
contig_1	cds	75490	76302	-	CR182_00110		(pseudo) Phage portal protein	SO:0001217, UniRef:UniRef50_A0A2P6FEB3, UniRef:UniRef50_A0A432ZUK1, UniRef:UniRef90_A0A2P6FEB3, UniRef:UniRef90_UPI0037DC0830
contig_1	cds	76705	76839	-	CR182_00111		(pseudo) Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DLF6, UniRef:UniRef90_A0A3S0RC95
contig_1	cds	78096	78380	+	CR182_00112		Spiroplasmavirus-related protein	RefSeq:WP_040093760.1, SO:0001217, UniParc:UPI000589C8AF, UniRef:UniRef100_A0A2P6FEA7, UniRef:UniRef50_A0A0K2JGU8, UniRef:UniRef90_W0GQ99
contig_1	cds	78335	78826	+	CR182_00113		Tc1-like transposase DDE domain-containing protein	SO:0001217, UniRef:UniRef50_W0GKL4, UniRef:UniRef90_A0A2P6FEB0
contig_1	cds	78807	78896	+	CR182_00114		hypothetical protein	
contig_1	cds	78905	79207	+	CR182_00115		(pseudo) Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_W0GQI2, UniRef:UniRef90_A0A0K2JJP0
contig_1	cds	79219	79677	+	CR182_00116		DUF16 domain-containing protein	RefSeq:WP_040093763.1, SO:0001217, UniParc:UPI00058A1453, UniRef:UniRef100_A0A2P6FEC9, UniRef:UniRef50_A0A3S0T7H9, UniRef:UniRef90_A0A2S8NRZ9
contig_1	cds	79694	80926	+	CR182_00117		DNA-binding response regulator	SO:0001217, UniRef:UniRef50_A0A433ETQ0, UniRef:UniRef90_A0A2P6FEB1
contig_1	cds	81246	82559	+	CR182_00118		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FFI8, UniRef:UniRef90_A0A2P6FER1
contig_1	cds	82629	83750	+	CR182_00119		Adhesin P123	SO:0001217, UniRef:UniRef50_A0A2P6FG89, UniRef:UniRef90_A0A2P6FEA9
contig_1	cds	83766	84035	+	CR182_00120		Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A432ZW41, UniRef:UniRef90_UPI0030D62286
contig_1	cds	84294	85301	+	CR182_00121		Phage portal protein	SO:0001217, UniRef:UniRef50_A0A2P6FEB3, UniRef:UniRef90_A0A2P6FEB3
contig_1	cds	85301	87721	+	CR182_00122		DUF3688 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FG91, UniRef:UniRef90_A0A2P6FEA8
contig_1	cds	87736	88215	-	CR182_00123		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A3S0SLD9, UniRef:UniRef90_A0A2P6FEB7
contig_1	cds	88230	89627	-	CR182_00124		Shiga toxin subunit A	SO:0001217, UniRef:UniRef50_A0A2P6FEB8, UniRef:UniRef90_A0A2P6FEB8
contig_1	cds	89904	90050	-	CR182_00125		IS5 family transposase	GO:0004803, SO:0001217, UniParc:UPI000591F7C6, UniRef:UniRef100_A0A3S0SDU2, UniRef:UniRef50_A0A433EQ93, UniRef:UniRef90_A0A433EQ93
contig_1	cds	90287	90739	-	CR182_00126		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0USN0, UniRef:UniRef90_A0A2P6FBJ5
contig_1	cds	91150	91473	+	CR182_00127		S1 motif domain-containing protein	SO:0001217, UniRef:UniRef50_R4UD14
contig_1	cds	91511	91690	-	CR182_00128		(pseudo) PBSX family phage terminase large subunit	SO:0001217, UniRef:UniRef50_A0A3S0RSG9, UniRef:UniRef50_A0AAJ4EKR8, UniRef:UniRef90_A0A3S0RSG9
contig_1	cds	91745	92716	-	CR182_00129		Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DRC2, UniRef:UniRef90_A0A345DRC2
contig_1	cds	92726	93247	-	CR182_00130		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JER1, UniRef:UniRef90_A0A0K2JER1
contig_1	cds	93323	94312	+	CR182_00131		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A3S0TRV6, UniRef:UniRef90_UPI003514ECD1
contig_1	cds	94823	95161	-	CR182_00132		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A433EM05, UniRef:UniRef90_A0A433EM05
contig_1	cds	95203	95655	-	CR182_00133		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	95734	95883	-	CR182_00134		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A3S0SU61, UniRef:UniRef90_A0A3S0U935
contig_1	cds	96145	98295	-	CR182_00135	recD2	ATP-dependent RecD2 DNA helicase	SO:0001217, UniRef:UniRef50_R4UIK0, UniRef:UniRef90_A0A0K2JHX7
contig_1	cds	98311	99444	-	CR182_00136	mnmA	tRNA 2-thiouridine(34) synthase MnmA	EC:2.8.1.13, GO:0002143, GO:0004808, GO:0005737, GO:0006396, GO:0016783, KEGG:K00566, SO:0001217, UniRef:UniRef50_Q600M2, UniRef:UniRef90_Q14LX2
contig_1	cds	99571	101343	-	CR182_00137		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A1J0U0E4, UniRef:UniRef90_A0A345DQ58
contig_1	cds	101868	102170	-	CR182_00138		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGX7
contig_1	cds	102276	103100	-	CR182_00139		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JH80
contig_1	cds	103501	103875	-	CR182_00140		hypothetical protein	SO:0001217, UniRef:UniRef50_A0AAJ4EKZ4
contig_1	cds	104296	104973	-	CR182_00141		(pseudo) VirD4-like conjugal transfer protein, CD1115 family	EC:7.4.2.8, KEGG:K03205, SO:0001217, UniRef:UniRef50_A0A2S8NSC3, UniRef:UniRef90_A0A2S8NSC3
contig_1	cds	105081	105533	-	CR182_00142		Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DQN8
contig_1	cds	105964	106383	-	CR182_00143		(pseudo) Plasmid recombination enzyme	SO:0001217, UniRef:UniRef50_A0AAJ4EKY8, UniRef:UniRef90_A0A2S8NQ92
contig_1	cds	106849	106980	-	CR182_00144		hypothetical protein	
contig_1	cds	106953	107201	-	CR182_00145		Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0AAJ4EI07
contig_1	cds	107271	108005	-	CR182_00146		Methyltransferase	SO:0001217, UniRef:UniRef50_A0A1J0Z1E6, UniRef:UniRef90_A0A0K2JIW5
contig_1	cds	108111	108311	-	CR182_00147		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A433ER32, UniRef:UniRef90_A0A433ER32
contig_1	cds	108372	108575	-	CR182_00148	traG	(pseudo) TraG P-loop domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0024121FD3, UniRef:UniRef90_UPI0024121FD3
contig_1	cds	108743	109873	-	CR182_00149		(pseudo) Mbov_0397 family ICE element conjugal transfer ATPase	KEGG:K12063, SO:0001217, UniRef:UniRef50_A0A0K2JIW3, UniRef:UniRef90_A0A0K2JIW3
contig_1	cds	109928	110773	-	CR182_00150	prgI	PrgI family protein	SO:0001217, UniRef:UniRef50_A0A2S8NRQ8, UniRef:UniRef90_A0A2S8NRQ8
contig_1	cds	111081	111227	-	CR182_00151		hypothetical protein	
contig_1	cds	112036	112641	-	CR182_00152		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2S8NRQ1, UniRef:UniRef90_A0A2S8NRQ1
contig_1	cds	113737	114159	-	CR182_00153		hypothetical protein	
contig_1	cds	114146	114349	-	CR182_00154		hypothetical protein	
contig_1	cds	114587	115087	-	CR182_00155		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00148B00F6, UniRef:UniRef90_UPI0030CED319
contig_1	cds	115326	115463	-	CR182_00156		Transposase	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0SM09
contig_1	cds	115700	116152	-	CR182_00157		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	116858	116989	-	CR182_00158		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0018DCC02A, UniRef:UniRef90_UPI0018DCC02A
contig_1	cds	117229	117456	-	CR182_00159		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JJB8, UniRef:UniRef90_UPI0006496EA9
contig_1	cds	117736	118437	-	CR182_00160		(pseudo) Lipoprotein	SO:0001217, UniRef:UniRef50_A0A0K2JJU4, UniRef:UniRef50_UPI0018DB6AE9, UniRef:UniRef90_A0AAJ4EL59
contig_1	cds	118651	119355	-	CR182_00161		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FCP0, UniRef:UniRef90_A0A2P6FCP0
contig_1	cds	119483	119833	-	CR182_00162		General stress protein 13	SO:0001217, UniRef:UniRef50_R4UD14, UniRef:UniRef90_A0A2P6FCG0
contig_1	cds	119885	120025	-	CR182_00163		hypothetical protein	
contig_1	cds	120415	120549	-	CR182_00164		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FCG3
contig_1	cds	120614	121321	-	CR182_00165	ytxH	YtxH domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FCE9, UniRef:UniRef90_A0A2P6FCE9
contig_1	cds	121352	122233	-	CR182_00166		Mbov_0396 family ICE element transmembrane protein	SO:0001217, UniRef:UniRef50_A0A2P6FCG6, UniRef:UniRef90_A0A2P6FCG6
contig_1	cds	122262	122552	-	CR182_00167		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JJU1
contig_1	cds	122679	122870	-	CR182_00168		Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0AAJ4EIU0, UniRef:UniRef90_A0A433EQP6
contig_1	cds	122873	123016	-	CR182_00169		DNA (cytosine-5-)-methyltransferase	SO:0001217, UniRef:UniRef50_A0AAJ4EJQ5
