# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	1352	+	GCF_964030635_00001	dnaA	(5' truncated) chromosomal replication initiator protein DnaA	GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0005886, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_P34028, UniRef:UniRef90_P34028
contig_1	cds	75392	75769	+	GCF_964030635_00091		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FCQ3
contig_1	cds	75838	76689	+	GCF_964030635_00092		hypothetical protein	
contig_1	cds	76717	77184	+	GCF_964030635_00093		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAJ4JZ43
contig_1	cds	77578	78837	+	GCF_964030635_00094		hypothetical protein	PFAM:PF00702.32, PFAM:PF08282.18
contig_1	cds	79106	79465	-	GCF_964030635_00095		IS30 family transposase	SO:0001217, UniRef:UniRef50_UPI0030D40031
contig_1	cds	79697	80083	-	GCF_964030635_00096		(pseudo) transposase	SO:0001217, UniRef:UniRef50_UPI001C0573B8, UniRef:UniRef50_UPI00313D9097, UniRef:UniRef90_UPI00313AB213
contig_1	cds	80413	80760	-	GCF_964030635_00097		integrase core domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0030D1AB8C, UniRef:UniRef90_UPI0030D1AB8C
contig_1	cds	80869	81768	+	GCF_964030635_00098		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	81798	82133	-	GCF_964030635_00099		hypothetical protein	PFAM:PF13518.12
contig_1	cds	82921	83067	+	GCF_964030635_00100		hypothetical protein	
contig_1	cds	83019	83465	+	GCF_964030635_00101		hypothetical protein	
contig_1	cds	83772	84197	-	GCF_964030635_00102		hypothetical protein	
contig_1	cds	84334	84774	+	GCF_964030635_00103		hypothetical protein	
contig_1	cds	84950	85546	-	GCF_964030635_00104		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	85807	86070	-	GCF_964030635_00105		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	86214	87095	-	GCF_964030635_00106		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JFB2
contig_1	cds	87271	87789	+	GCF_964030635_00107		hypothetical protein	
contig_1	cds	87795	88055	+	GCF_964030635_00108		hypothetical protein	
contig_1	cds	88101	88319	+	GCF_964030635_00109		hypothetical protein	
contig_1	cds	88294	88725	+	GCF_964030635_00110		hypothetical protein	
contig_1	cds	88784	89380	+	GCF_964030635_00111		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	89556	89996	-	GCF_964030635_00112		hypothetical protein	
contig_1	cds	90133	90558	+	GCF_964030635_00113		hypothetical protein	
contig_1	cds	90865	91311	-	GCF_964030635_00114		hypothetical protein	
contig_1	cds	91263	91409	-	GCF_964030635_00115		hypothetical protein	
contig_1	cds	92253	92567	-	GCF_964030635_00116		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030D2D128, UniRef:UniRef90_UPI0030D142F9
contig_1	cds	92626	93057	-	GCF_964030635_00117		hypothetical protein	
contig_1	cds	93032	93250	-	GCF_964030635_00118		hypothetical protein	
contig_1	cds	93296	93556	-	GCF_964030635_00119		hypothetical protein	
contig_1	cds	93562	94080	-	GCF_964030635_00120		hypothetical protein	
contig_1	cds	94256	95137	+	GCF_964030635_00121		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JFB2
contig_1	cds	95281	95544	+	GCF_964030635_00122		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	95805	96401	+	GCF_964030635_00123		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	96438	97388	-	GCF_964030635_00124		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	97516	98442	+	GCF_964030635_00125		hypothetical protein	
contig_1	cds	98417	98848	+	GCF_964030635_00126		hypothetical protein	
contig_1	cds	99192	99584	+	GCF_964030635_00127		hypothetical protein	
contig_1	cds	99678	101255	-	GCF_964030635_00128		extracellular solute-binding protein	SO:0001217, UniRef:UniRef50_UPI001EF7D3AA
contig_1	cds	101277	102263	-	GCF_964030635_00129		ABC transporter permease	SO:0001217, UniRef:UniRef50_UPI001EF8B847, UniRef:UniRef90_UPI001EF8B847
contig_1	cds	102247	103215	-	GCF_964030635_00130	potB	spermidine/putrescine ABC transporter permease	GO:0015846, GO:0022857, SO:0001217, UniRef:UniRef50_R4UKD1, UniRef:UniRef90_A0A2P6FFP3
contig_1	cds	103228	104280	-	GCF_964030635_00131	potA	spermidine/putrescine ABC transporter ATP-binding protein	EC:7.6.2.11, GO:0005524, GO:0015594, GO:0016887, GO:0043190, GO:1902047, SO:0001217, UniRef:UniRef50_Q6F0V4, UniRef:UniRef90_Q14Q07
contig_1	cds	104305	104838	-	GCF_964030635_00132		Putative transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A1J0TZG5, UniRef:UniRef90_A0A0K2JJJ7
contig_1	cds	105370	105585	-	GCF_964030635_00133		transposase	SO:0001217, UniRef:UniRef50_UPI0035C8E137, UniRef:UniRef90_UPI0035C8E137
contig_1	cds	105898	106320	-	GCF_964030635_00134		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030CF4DCE, UniRef:UniRef90_UPI0035C8FF53
contig_1	cds	106732	106956	+	GCF_964030635_00135		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JIA9
contig_1	cds	107523	107783	-	GCF_964030635_00136		hypothetical protein	PFAM:PF13518.12
contig_1	cds	107952	109085	+	GCF_964030635_00137	mnmA	tRNA 2-thiouridine(34) synthase MnmA	EC:2.8.1.13, GO:0008033, GO:0016740, GO:0016783, KEGG:K00566, SO:0001217, UniRef:UniRef50_Q600M2, UniRef:UniRef90_UPI0030D3E0DE
contig_1	cds	109101	111269	+	GCF_964030635_00138		AAA family ATPase	SO:0001217, UniRef:UniRef50_R4UIK0, UniRef:UniRef90_UPI0030D58BF4
contig_1	cds	111907	112857	-	GCF_964030635_00139		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	112925	113575	+	GCF_964030635_00140		IS3 family transposase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38
contig_1	cds	113706	114686	-	GCF_964030635_00141		hypothetical protein	PFAM:PF00665.32
contig_1	cds	114988	115386	+	GCF_964030635_00142		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGV9
contig_1	cds	115379	116404	+	GCF_964030635_00143		PBSX family phage terminase large subunit	KEGG:K06909, SO:0001217, UniRef:UniRef50_A0A0K2JIN4, UniRef:UniRef90_A0A0K2JIN4
contig_1	cds	116537	116839	+	GCF_964030635_00144		p58	SO:0001217, UniRef:UniRef50_A0A0K2JEG1, UniRef:UniRef90_UPI0032B28246
contig_1	cds	116839	117117	+	GCF_964030635_00145		Adhesin P12	RefSeq:WP_253301740.1, SO:0001217, UniParc:UPI00209C7E7A, UniRef:UniRef100_UPI00209C7E7A, UniRef:UniRef50_A0A2P6F9F7, UniRef:UniRef90_A0A3S0YNT3
contig_1	cds	117110	117634	+	GCF_964030635_00146		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6F9S6, UniRef:UniRef90_A0A2P6F9S6
contig_1	cds	117671	118501	+	GCF_964030635_00147		Adhesin P54	SO:0001217, UniRef:UniRef50_A0A3S0TSB4, UniRef:UniRef90_A0A2P6F972
contig_1	cds	118505	118882	+	GCF_964030635_00148		p123	SO:0001217, UniRef:UniRef50_A0A0K2JEX5, UniRef:UniRef90_A0A3S0SKV4
contig_1	cds	118940	120328	+	GCF_964030635_00149		Adhesin P123	SO:0001217, UniRef:UniRef50_A0AAJ4EJC9
contig_1	cds	120656	121678	+	GCF_964030635_00150		Adhesin P123	SO:0001217, UniRef:UniRef50_A0A3S0U7A0
contig_1	cds	121759	122274	-	GCF_964030635_00151		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A2P6FEX0
contig_1	cds	122389	123333	-	GCF_964030635_00152		hypothetical protein	
contig_1	cds	123653	124114	+	GCF_964030635_00153		P18	SO:0001217, UniRef:UniRef50_A0A2P6FFS4, UniRef:UniRef90_A0A2P6FFS4
contig_1	cds	124131	124685	+	GCF_964030635_00154		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A432ZV93, UniRef:UniRef50_A0A432ZVD5, UniRef:UniRef90_UPI0011BBA3F7
contig_1	cds	124734	125054	+	GCF_964030635_00155		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0K2JFZ9, UniRef:UniRef90_A0A2P6F8F5
contig_1	cds	125099	125362	+	GCF_964030635_00156		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	125623	126219	+	GCF_964030635_00157		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	126781	127152	+	GCF_964030635_00158		Phage terminase large subunit N-terminal domain-containing protein	KEGG:K06909, SO:0001217, UniRef:UniRef50_A0A2P6F8H6, UniRef:UniRef90_A0A2P6F8H6
contig_1	cds	127460	128263	+	GCF_964030635_00159		RNA-binding S4 domain-containing protein	SO:0001217, UniRef:UniRef50_W0GQM0
contig_1	cds	128392	130068	+	GCF_964030635_00160		Multidrug transporter	SO:0001217, UniRef:UniRef50_W0GQ25
contig_1	cds	130586	130852	+	GCF_964030635_00161		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D3635F
contig_1	cds	130833	131705	+	GCF_964030635_00162		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI002481DC89, UniRef:UniRef90_UPI0030CFC166
contig_1	cds	131830	131922	+	GCF_964030635_00163		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0030D42CB4, UniRef:UniRef90_UPI0030D42CB4
contig_1	cds	132052	132543	+	GCF_964030635_00164		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CBF8DA
contig_1	cds	132882	133097	-	GCF_964030635_00165	yneF	YneF family protein	COG:COG3763, COG:S, KEGG:K09976, SO:0001217, UniRef:UniRef50_Q6KHJ9, UniRef:UniRef90_R4UIV5
contig_1	cds	133295	133681	-	GCF_964030635_00166		(pseudo) transposase	SO:0001217, UniRef:UniRef50_UPI00313D3AE9, UniRef:UniRef50_UPI00313D9097, UniRef:UniRef90_UPI0030D23EC2
contig_1	cds	134016	134243	-	GCF_964030635_00167	insA	InsA N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NPX2
contig_1	cds	134433	134789	+	GCF_964030635_00168		hypothetical protein	
contig_1	cds	134800	135897	+	GCF_964030635_00169		(pseudo) amino acid permease	SO:0001217, UniRef:UniRef50_A0A1J0TZJ0, UniRef:UniRef90_UPI0030CED565
contig_1	cds	136039	136158	-	GCF_964030635_00170		hypothetical protein	
contig_1	cds	136327	137307	-	GCF_964030635_00171		hypothetical protein	PFAM:PF00665.32
contig_1	cds	137610	138008	+	GCF_964030635_00172		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGV9
contig_1	cds	138001	139461	+	GCF_964030635_00173		PBSX family phage terminase large subunit	KEGG:K06909, SO:0001217, UniRef:UniRef50_W0GPI8, UniRef:UniRef90_A0A432ZV87
contig_1	cds	139461	139739	+	GCF_964030635_00174		Adhesin P12	RefSeq:WP_253301740.1, SO:0001217, UniParc:UPI00209C7E7A, UniRef:UniRef100_UPI00209C7E7A, UniRef:UniRef50_A0A2P6F9F7, UniRef:UniRef90_A0A3S0YNT3
contig_1	cds	139732	141123	+	GCF_964030635_00175		Adhesin P54	SO:0001217, UniRef:UniRef50_A0A2P6FF31, UniRef:UniRef90_A0A2P6FA19
contig_1	cds	141127	144345	+	GCF_964030635_00176		Adhesin P123	SO:0001217, UniRef:UniRef50_W0GR15
contig_1	cds	144538	145056	-	GCF_964030635_00177		Lipoprotein	SO:0001217, UniRef:UniRef50_A0AAJ4EIG9
contig_1	cds	145153	145806	-	GCF_964030635_00178		hypothetical protein	
contig_1	cds	146118	146579	+	GCF_964030635_00179		P18	SO:0001217, UniRef:UniRef50_A0A2P6FFS4, UniRef:UniRef90_A0A2P6FFS4
